amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
"['Clubhouse', 'Function room', 'Gym', 'Swimming pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', '', '', '']",2015,8 Enggor Street,Arcadia Development Pte. Ltd.,Chinatown / Tanjong Pagar (D2),,,,https://www.99.co/singapore/rent/property/skysuites-anson-condo-6B7oRUEhtTgZiVQubHYgED#enquiry_position_7118#enquiry_source_Search,5 min (225 m) from ,Tanjong Pagar MRT,Skysuites @ Anson,None,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$7.4 psf,"$2,700/mo",Condo Whole Unit,365,99 Years,360,"Studio, 1, 2, 3 BR",1,1
"['Clubhouse', 'Function room', 'Swimming pool', 'Water feature', 'Gym', 'Open terrace', 'Viewing deck', 'Lounge', '', '', '', '']",2018,9 Kim Tian Road,Harvestland Developement Pte Ltd (Keppel Land),Alexandra / Commonwealth (D3),,,,https://www.99.co/singapore/rent/property/highline-residences-condo-YSgHdPe7A2vEhGmv8mrTuL#enquiry_position_7119#enquiry_source_Search,5 min (351 m) from ,Tiong Bahru MRT,Highline Residences,Bukit Merah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.21 psf,"$6,000/mo",Condo Whole Unit,"1,152",99 Years,500,"Studio, 1, 2, 3, 4, 6 BR",3,3
"['Clubhouse', 'Gym', 'Pool deck', 'Wading pool', 'Jacuzzi', 'Steam room', 'Playground', 'Parking', '', '', '']",2010,18 Marina Boulevard,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Boat Quay / Raffles Place / Marina (D1),,,,https://www.99.co/singapore/rent/property/marina-bay-residences-condo-ykru8mTwXNRNyb6SEu2EEd#enquiry_position_7120#enquiry_source_Search,5 min (289 m) from ,Downtown MRT,Marina Bay Residences,None,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.96 psf,"$4,300/mo",Condo Whole Unit,721,99 Years,428,"1, 2, 3, 4, 5, 6, 7 BR",1,1
"['Function room', 'Water feature', 'Gym', 'Spa pool', 'Steam room', 'Tennis court', 'Fitness corner', 'Security', '', '']",2018,8 Saint Thomas Walk,Bukit Sembawang Estates Limited,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/8-st-thomas-condo-qcrWyGi85EV72Lfn6WxbXf#enquiry_position_7121#enquiry_source_Search,10 min (505 m) from ,Somerset MRT,8 St Thomas,River Valley,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.73 psf,"$10,000/mo",Condo Whole Unit,"1,744",Freehold,230,"1, 2, 3, 4, 5 BR",4,4
[],2014,15 Institution Hill,Optimus Hill Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/aspen-linq-condo-5taMM22uzE7FoRSTu8WxCe#enquiry_position_7122#enquiry_source_Search,20 min (1262 m) from ,Somerset MRT,Aspen Linq,River Valley,,https://financialtribune.com/sites/default/files/styles/slideshow/public/field/image/17january/12_housing.jpg?itok=d06YPElv&c=951339708e83cdf3eb1f0b0e2a10dfe1,$4.91 psf,"$2,800/mo",Condo Whole Unit,570,999 Years,18,"1, 2 BR",1,2
"['Function room', 'Water feature', 'Gym', 'Spa pool', 'Steam room', 'Tennis court', 'Fitness corner', 'Security', '', '']",2018,8 Saint Thomas Walk,Bukit Sembawang Estates Limited,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/8-st-thomas-condo-uRoAQoscFMdQ6rnQtzz9z#enquiry_position_7123#enquiry_source_Search,10 min (505 m) from ,Somerset MRT,8 St Thomas,River Valley,,https://www.99.co/static/v3/icons/function_room@3x.png,$6.51 psf,"$6,800/mo",Condo Whole Unit,"1,044",Freehold,230,"1, 2, 3, 4, 5 BR",2,2
"['Function room', 'Pavilion', 'Sky lounge', 'Water feature', 'Yoga corner', 'Gym', 'Swimming pool', 'Jacuzzi', '', '', '']",2021,231 Pasir Panjang Road,Oxley Holdings Limited,Buona Vista / West Coast / Clementi (D5),,,,https://www.99.co/singapore/rent/property/the-verandah-residences-condo-KQZSu9Axc55RWAoD5P58qJ#enquiry_position_7124#enquiry_source_Search,10 min (472 m) from ,Haw Par Villa MRT,The Verandah Residences,Queenstown,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.83 psf,"$2,700/mo",Condo Whole Unit,463,Freehold,170,"1, 2, 3, 4 BR",1,1
"['Clubhouse', 'Gym', 'Playground', 'Fitness corner', 'Parking', 'Security', 'Lap pool', 'Tennis court']",2009,168 Sixth Avenue,Avenue Park Development Pte Ltd,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/the-sixth-avenue-residences-condo-VouLdB3fnpgKcg7kgryZtT#enquiry_position_7125#enquiry_source_Search,20 min (859 m) from ,Sixth Avenue MRT,The Sixth Avenue Residences,Bukit Timah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.69 psf,"$5,000/mo",Condo Whole Unit,"1,356",Freehold,175,"2, 3, 4, 5 BR",3,3
[],2014,63 East Coast Road,Wrh Pte. Ltd,East Coast / Marine Parade (D15),,,,https://www.99.co/singapore/rent/property/the-red-house-condo-tm8YC29S3jQtCJ3sgZ8mb4#enquiry_position_7126#enquiry_source_Search,,,The Red House,Marine Parade,,https://financialtribune.com/sites/default/files/styles/slideshow/public/field/image/17january/12_housing.jpg?itok=d06YPElv&c=951339708e83cdf3eb1f0b0e2a10dfe1,$3.42 psf,"$2,500/mo",Condo Whole Unit,731,99 Years,42,"Studio, 1, 2, 3 BR",1,1
"['Security', 'Jacuzzi', 'Lap pool', 'Tennis court']",2015,72 Lorong M Telok Kurau,Bayshore Green Pte Ltd,East Coast / Marine Parade (D15),,,Partial,https://www.99.co/singapore/rent/property/the-seawind-condo-nUVTZNCkioVsreWkdE5dgH#enquiry_position_7127#enquiry_source_Search,,,The Seawind,Bedok,,https://www.99.co/static/v3/icons/security@3x.png,$4.64 psf,"$3,000/mo",Condo Whole Unit,646,Freehold,222,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Stove', 'Oven', 'Pond', 'Outdoor dining', 'Sky terrace', 'Renovated', 'Tv', 'Pool deck', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2018,16 Balmoral Road,Feature (Balmoral) Pte Ltd - Tong Eng Group,Tanglin / Holland (D10),,,Fully,https://www.99.co/singapore/rent/property/goodwood-grand-condo-YXtjZDmxZuQfybYBhzhRn9#enquiry_position_7128#enquiry_source_Search,15 min (940 m) from ,Newton MRT,Goodwood Grand,Newton,,https://www.99.co/static/v3/icons/stove@3x.png,$5.73 psf,"$4,188/mo",Apartment Whole Unit,731,Freehold,73,"2, 3, 4, 5 BR",2,2
"['Clubhouse', 'Gym', 'Swimming pool', 'Jacuzzi', 'Playground', 'Bbq', 'Tennis court']",2011,1 Keppel Bay View,,Harbourfront / Telok Blangah (D4),,,,https://www.99.co/singapore/rent/property/reflections-at-keppel-bay-condo-QooKMpYhfZvGmThvxQg92E#enquiry_position_7129#enquiry_source_Search,10 min (468 m) from ,Telok Blangah MRT,Reflections At Keppel Bay,Bukit Merah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$7.62 psf,"$16,000/mo",Condo Whole Unit,"2,100",99 Years,1129,"Studio, 1, 2, 3, 4, 5, 6 BR",3,4
"['Function room', 'Gym', 'Pool deck', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Steam room', 'Bbq']",2017,65 Lloyd Road,Tg (2010) Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/lloyd-sixtyfive-condo-HLsh9noVvc5S58DrdSZkxP#enquiry_position_7130#enquiry_source_Search,5 min (321 m) from ,Somerset MRT,Lloyd Sixtyfive,River Valley,,https://www.99.co/static/v3/icons/function_room@3x.png,$7.46 psf,"$4,500/mo",Condo Whole Unit,603,Freehold,76,"1, 2, 3, 4, 5 BR",1,1
"['Gym', 'Jacuzzi', 'Lap pool']",2016,38 Scotts Road,Far East Success,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/the-scotts-tower-condo-gLDoHKWKr2U9iQf794zsj#enquiry_position_7131#enquiry_source_Search,10 min (384 m) from ,Newton MRT,The Scotts Tower,Newton,,https://www.99.co/static/v3/icons/gym@3x.png,$7.35 psf,"$4,900/mo",Condo Whole Unit,667,103 Years,231,"Studio, 1, 2, 3, 5 BR",1,1
"['Clubhouse', 'Gym', 'Swimming pool', 'Squash court', 'Playground', 'Fitness corner', 'Parking', 'Security', '']",1997,2 Leonie Hill Road,Lucky Square Pte Ltd (Far East Organization),Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/leonie-condotel-condo-EaT4dy79WsVv7sK6fV4M2d#enquiry_position_7132#enquiry_source_Search,10 min (602 m) from ,Somerset MRT,Leonie Condotel,River Valley,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.79 psf,"$10,500/mo",Condo Whole Unit,"2,772",Freehold,120,"Studio, 1, 2, 3, 4, 5 BR",4,4
"['Gym', 'Viewing deck', 'Swimming pool', 'Wading pool', 'Spa pool', 'Steam room', 'Playground', 'Parking', '', '', '', '']",2014,33 Leonie Hill Road,Cove Development Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/oue-twin-peaks-condo-zKFyVoeEL7MgMBZqJdpMUX#enquiry_position_7133#enquiry_source_Search,15 min (1699 m) from ,Somerset MRT,OUE Twin Peaks,River Valley,,https://www.99.co/static/v3/icons/gym@3x.png,$6.3 psf,"$3,600/mo",Condo Whole Unit,571,99 Years,462,"Studio, 1, 2, 3, 5 BR",1,1
"['Infinity pool', 'Clubhouse', 'Gym', 'Pool deck', 'Spa pavilion', 'Wading pool', 'Jacuzzi', 'Playground', '', '', '', '', '', '']",2010,38 Chay Yan Street,,Alexandra / Commonwealth (D3),,,,https://www.99.co/singapore/rent/property/the-regency-at-tiong-bahru-condo-UwDfGT7gKR4Psxk7oQQeFb#enquiry_position_7134#enquiry_source_Search,15 min (700 m) from ,Tiong Bahru MRT,The Regency At Tiong Bahru,Bukit Merah,,https://www.99.co/static/v3/icons/pool@3x.png,$3.99 psf,"$5,100/mo",Condo Whole Unit,"1,278",Freehold,158,"2, 3, 4 BR",3,3
"['Swimming pool', 'Security', 'Playground', 'Parking']",1976,1 Sophia Road,Kian An Realty Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/peace-mansion-peace-centre-condo-sfGnYMZmXbWH4ZeERg97nS#enquiry_position_7135#enquiry_source_Search,10 min (451 m) from ,Rochor MRT,Peace Mansion / Peace Centre,None,,https://www.99.co/static/v3/icons/pool@3x.png,$1.92 psf,"$4,500/mo",Apartment Whole Unit,"2,347",99 Years,42,"Studio, 1, 2, 3, 5, 6 BR",3,3
"['Water feature', 'Gym', 'Pool deck', 'Lounge', 'Jacuzzi', 'Tennis court', 'Pond', 'Outdoor dining', '', '', '']",2021,8 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/martin-modern-condo-qQnWeKoG8QZ5mHVUy5crB8#enquiry_position_7136#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,,https://www.99.co/static/v3/icons/water_feature@3x.png,$6.82 psf,"$5,800/mo",Condo Whole Unit,850,99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Clubhouse', 'Sauna', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Steam room', 'Playground', 'Parking', '', '', '']",2015,23 Angullia Park,Far East Organization,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/skyline-orchard-boulevard-condo-Fk8NwQfH29ygMent2Zc7m9#enquiry_position_7137#enquiry_source_Search,5 min (346 m) from ,Orchard MRT,Skyline @ Orchard Boulevard,River Valley,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.98 psf,"$10,300/mo",Condo Whole Unit,"2,067",Freehold,40,"Studio, 2, 3, 4, 5, 6 BR",2,2
"['Clubhouse', 'Spa pool', 'Function room', 'Pavilion', 'Tennis court', 'Gym', 'Pool deck', 'Sauna', '', '', '', '', '', '', '', '', '']",2015,17 Tampines Central 7,,Pasir Ris / Tampines (D18),,,,https://www.99.co/singapore/rent/property/the-tampines-trilliant-condo-GzxwCxcNH7xEH3ZF7z67hN#enquiry_position_7138#enquiry_source_Search,15 min (1578 m) from ,Tampines MRT,The Tampines Trilliant,Tampines,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.36 psf,"$3,800/mo",Executive Condo Whole Unit,"1,130",99 Years,670,"3, 4, 5 BR",3,3
"['High ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'City view', 'Renovated', 'Tv', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2011,21 Mccallum Street,Natwest Development Pte Ltd (Far East Organization),Boat Quay / Raffles Place / Marina (D1),,High (42 total),Fully,https://www.99.co/singapore/rent/property/the-clift-condo-5qtGhynDWLMPHCNzBWZURC#enquiry_position_7139#enquiry_source_Search,5 min (329 m) from ,Telok Ayer MRT,The Clift,None,City view,https://www.99.co/static/v3/icons/high_ceiling@3x.png,$6.11 psf,"$4,800/mo",Condo Whole Unit,786,99 Years,312,"Studio, 1, 2 BR",1,1
"['Gym', 'Pool deck', 'Lounge', 'Fitness corner', 'Lap pool', 'Bbq']",2021,16 Lorong 35 Geylang,Oxley Holdings,Eunos / Geylang / Paya Lebar (D14),,,,https://www.99.co/singapore/rent/property/sixteen35-residences-condo-eVetecCYLxzwzAiu24fKQf#enquiry_position_7140#enquiry_source_Search,15 min (754 m) from ,Paya Lebar MRT,Sixteen35 Residences,Geylang,,https://www.99.co/static/v3/icons/gym@3x.png,$4.88 psf,"$3,100/mo",Condo Whole Unit,635,99 Years,60,"1, 2, 3 BR",2,1
"['Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Parking', 'Security', 'Lap pool']",2011,21 Mccallum Street,Natwest Development Pte Ltd (Far East Organization),Boat Quay / Raffles Place / Marina (D1),,,,https://www.99.co/singapore/rent/property/the-clift-condo-gkESgMuSKycVvB3wrHiMjH#enquiry_position_7141#enquiry_source_Search,5 min (329 m) from ,Telok Ayer MRT,The Clift,None,,https://www.99.co/static/v3/icons/gym@3x.png,$6.13 psf,"$6,600/mo",Apartment Whole Unit,"1,076",99 Years,312,"Studio, 1, 2 BR",2,2
"['Function room', 'Retail shops', 'Gym', 'Pool deck', 'Rooftop pool', 'Spa pool', 'Wading pool', 'Jacuzzi', '', '', '', '', '', '', '', '']",2017,1 Fraser Street,M+S Pte Ltd (A Company Owned By Khazanah And Temasek),Beach Road / Bugis / Rochor (D7),,,,https://www.99.co/singapore/rent/property/duo-residences-duo-tower-condo-vKizDn69C3mBV39FNXuXFk#enquiry_position_7142#enquiry_source_Search,5 min (246 m) from ,Bugis MRT,Duo Residences / Duo Tower,None,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.9 psf,"$10,500/mo",Apartment Whole Unit,"1,780",99 Years,660,"Studio, 1, 2, 3, 4 BR",3,3
"['Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Parking', 'Security', 'Lap pool']",2011,21 Mccallum Street,Natwest Development Pte Ltd (Far East Organization),Boat Quay / Raffles Place / Marina (D1),,,,https://www.99.co/singapore/rent/property/the-clift-condo-BJfPWRcoMQAuVpnW9cQs7j#enquiry_position_7143#enquiry_source_Search,5 min (329 m) from ,Telok Ayer MRT,The Clift,None,,https://www.99.co/static/v3/icons/gym@3x.png,$5.77 psf,"$4,600/mo",Apartment Whole Unit,797,99 Years,312,"Studio, 1, 2 BR",1,1
"['Gym', 'Pool deck', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', '']",2003,32 Lincoln Road,Arts Associate Company Pte Ltd (Far East Organization),Newton / Novena (D11),,,,https://www.99.co/singapore/rent/property/rosevale-condo-ezJzi2m7zGuCR3BaxnPjQD#enquiry_position_7144#enquiry_source_Search,10 min (458 m) from ,Novena MRT,Rosevale,Novena,,https://www.99.co/static/v3/icons/gym@3x.png,$3.44 psf,"$9,000/mo",Apartment Whole Unit,"2,616",Freehold,32,"3, 4 BR",4,4
"['Jogging track', 'Clubhouse', 'Function room', 'Bridge', 'Timber deck', 'Concierge', 'Jacuzzi', 'Parking', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2020,1 Bedok South Avenue 3,CEL Residential Development Pte. Ltd.,Bedok / Upper East Coast (D16),,,,https://www.99.co/singapore/rent/property/grandeur-park-residences-condo-MDtBBRU3wMhwiGKfbo6zzC#enquiry_position_7145#enquiry_source_Search,5 min (208 m) from ,Tanah Merah MRT,Grandeur Park Residences,Bedok,,https://www.99.co/static/v3/icons/jogging_track@3x.png,$4.28 psf,"$3,850/mo",Condo Whole Unit,900,99 Years,722,"Studio, 1, 2, 3, 4, 5 BR",3,2
"['Gym', 'Jacuzzi', 'Lap pool']",2016,38 Scotts Road,Far East Success,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/the-scotts-tower-condo-gtGLyaw7r397EteHFLJvr5#enquiry_position_7146#enquiry_source_Search,10 min (384 m) from ,Newton MRT,The Scotts Tower,Newton,,https://www.99.co/static/v3/icons/gym@3x.png,$7.02 psf,"$5,900/mo",Condo Whole Unit,840,103 Years,231,"Studio, 1, 2, 3, 5 BR",2,2
"['Water feature', 'Pool deck', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Fitness corner', 'Parking', '']",2011,2 Lorong M Telok Kurau,Abacus Development Pte Ltd,East Coast / Marine Parade (D15),,,,https://www.99.co/singapore/rent/property/naturalis-condo-LhY6BCsf3U3ab3QQ3MpYYX#enquiry_position_7147#enquiry_source_Search,,,Naturalis,Bedok,,https://www.99.co/static/v3/icons/water_feature@3x.png,$2.51 psf,"$3,300/mo",Apartment Whole Unit,"1,313",Freehold,43,"1, 2 BR",2,1
"['Water feature', 'Gym', 'Pool deck', 'Lounge', 'Jacuzzi', 'Tennis court', 'Pond', 'Outdoor dining', '', '', '']",2021,8 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/martin-modern-condo-LAbcrshrkD7RFvPip8BaXT#enquiry_position_7148#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,,https://www.99.co/static/v3/icons/water_feature@3x.png,$6.12 psf,"$8,700/mo",Apartment Whole Unit,"1,421",99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",3,4
"['Gym', 'Pool deck', 'Lounge', 'Fitness corner', 'Lap pool', 'Bbq']",2021,16 Lorong 35 Geylang,Oxley Holdings,Eunos / Geylang / Paya Lebar (D14),,,,https://www.99.co/singapore/rent/property/sixteen35-residences-condo-QQAupfjXpKaqLa5EXTxbyH#enquiry_position_7149#enquiry_source_Search,15 min (754 m) from ,Paya Lebar MRT,Sixteen35 Residences,Geylang,,https://www.99.co/static/v3/icons/gym@3x.png,$5.13 psf,"$3,200/mo",Condo Whole Unit,624,99 Years,60,"1, 2, 3 BR",2,1
"['Function room', 'Pavilion', 'Sky lounge', 'Water feature', 'Yoga corner', 'Gym', 'Swimming pool', 'Jacuzzi', '', '', '']",2021,231 Pasir Panjang Road,Oxley Holdings Limited,Buona Vista / West Coast / Clementi (D5),,,,https://www.99.co/singapore/rent/property/the-verandah-residences-condo-28VdL4UW6bxEiatLhwYvZ3#enquiry_position_7150#enquiry_source_Search,10 min (472 m) from ,Haw Par Villa MRT,The Verandah Residences,Queenstown,,https://www.99.co/static/v3/icons/function_room@3x.png,$5 psf,"$5,000/mo",Condo Whole Unit,"1,000",Freehold,170,"1, 2, 3, 4 BR",3,2
"['Function room', 'Pavilion', 'Sky lounge', 'Water feature', 'Yoga corner', 'Gym', 'Swimming pool', 'Jacuzzi', '', '', '']",2021,231 Pasir Panjang Road,Oxley Holdings Limited,Buona Vista / West Coast / Clementi (D5),,,,https://www.99.co/singapore/rent/property/the-verandah-residences-condo-PNc6szc5zfH9TJpbjKRiCj#enquiry_position_7151#enquiry_source_Search,10 min (472 m) from ,Haw Par Villa MRT,The Verandah Residences,Queenstown,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.58 psf,"$3,000/mo",Condo Whole Unit,538,Freehold,170,"1, 2, 3, 4 BR",1,1
"['Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Playground', 'Parking', 'Bbq']",1996,81 Cavenagh Road,Far East Organization,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/cavenagh-lodge-condo-9ao6tBj6rsCWiEbJd8ThGG#enquiry_position_7152#enquiry_source_Search,20 min (1191 m) from ,Somerset MRT,Cavenagh Lodge,Newton,,https://www.99.co/static/v3/icons/gym@3x.png,$3.49 psf,"$4,700/mo",Apartment Whole Unit,"1,348",99 Years,41,"1, 2, 3, 5 BR",3,3
"['Ground floor', 'Pool view', 'Closet', 'Aircon', 'Maid room', 'Stove', 'Dishwasher', 'Bathtub', '', '', '', '', '', '', '', '']",,8B Rochalie Drive,,Tanglin / Holland (D10),North,Ground,Partial,https://www.99.co/singapore/rent/property/rochalie-residences-condo-kT4Wy9rz3jN3W4wdBrPkJE#enquiry_position_7153#enquiry_source_Search,,,Rochalie Residences,Tanglin,Pool view,https://www.99.co/static/v3/icons/ground_floor@3x.png,$4.38 psf,"$9,800/mo",Condo Whole Unit,"2,239",-,6,3 BR,3,3
"['Clubhouse', 'Tennis court', 'Fitness corner', 'Parking', 'Security', 'Bbq']",2007,30 Mount Sophia,Cathay Organisation Holdings Ltd,Orchard / River Valley (D9),North,,,https://www.99.co/singapore/rent/property/the-cathay-residences-condo-JCL2KrTMVigko4EjcT3wtD#enquiry_position_7154#enquiry_source_Search,5 min (222 m) from ,Dhoby Ghaut MRT,The Cathay Residences,None,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.3 psf,"$5,500/mo",Condo Whole Unit,"1,280",Freehold,76,"2, 3 BR",2,2
"['Audio system', 'Aircon', 'Tv', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Closet', '', '', '', '', '', '', '']",2007,6 Handy Road,JBE Properties Pte Ltd,Orchard / River Valley (D9),North,Low,Fully,https://www.99.co/singapore/rent/property/the-luxe-condo-TTFbJVP76x6CpNAC73U8VE#enquiry_position_7155#enquiry_source_Search,5 min (169 m) from ,Dhoby Ghaut MRT,The Luxe,None,,https://www.99.co/static/v3/icons/audio_system@3x.png,$5.21 psf,"$5,500/mo",Condo Whole Unit,"1,055",99 Years,20,2 BR,2,2
"['Closet', 'Aircon', 'Tv', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Low floor', '', '', '', '', '', '']",2007,6 Handy Road,JBE Properties Pte Ltd,Orchard / River Valley (D9),North,Low,Fully,https://www.99.co/singapore/rent/property/the-luxe-condo-F5pbHAvmyLFLokyUHqDxE#enquiry_position_7156#enquiry_source_Search,5 min (169 m) from ,Dhoby Ghaut MRT,The Luxe,None,,https://www.99.co/static/v3/icons/closet@3x.png,$5.12 psf,"$4,100/mo",Condo Whole Unit,800,99 Years,20,2 BR,2,1
"['Clubhouse', 'Security', 'Fitness corner', 'Aircon', 'Maid room', 'Greenery view', 'Duplex / maisonette', 'Fridge', '', '', '', '', '', '', '', '', '', '', '', '', '']",1982,14 Taman Nakhoda,Nakhoda Development Pte Ltd,Tanglin / Holland (D10),North East,Low,Partial,https://www.99.co/singapore/rent/property/villa-delle-rose-condo-qsACCsobQKXaj5GbpSkuCa#enquiry_position_7157#enquiry_source_Search,15 min (1409 m) from ,Farrer Road MRT,Villa Delle Rose,Tanglin,Greenery view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.14 psf,"$8,800/mo",Condo Whole Unit,"2,800",Freehold,104,"3, 4 BR",3,4
"['Bathtub', 'Closet', 'Aircon', 'High ceiling', 'Sofa', 'Greenery view', 'Fridge', 'Bed', '', '', '', '', '', '', '', '', '', '']",2007,6 Handy Road,JBE Properties Pte Ltd,Orchard / River Valley (D9),North,High,,https://www.99.co/singapore/rent/property/the-luxe-condo-DHzcaf5ubEhasbs39ixthW#enquiry_position_7158#enquiry_source_Search,5 min (169 m) from ,Dhoby Ghaut MRT,The Luxe,None,Greenery view,https://www.99.co/static/v3/icons/bathtub@3x.png,$5.24 psf,"$5,500/mo",Condo Whole Unit,"1,050",99 Years,20,2 BR,2,2
"['Security', 'Closet', 'Aircon', 'Maid room', 'Stove', 'Fridge', 'Low floor', 'Swimming pool', '', '', '', '', '', '']",1985,112 Holland Road,,Tanglin / Holland (D10),South,Low,Partial,https://www.99.co/singapore/rent/property/holland-mansion-condo-WBqJzyKLSERBbhTHeJoi8e#enquiry_position_7159#enquiry_source_Search,15 min (963 m) from ,Holland Village MRT,Holland Mansion,Bukit Timah,,https://www.99.co/static/v3/icons/security@3x.png,$3.4 psf,"$5,400/mo",Condo Whole Unit,"1,588",Freehold,117,3 BR,3,3
"['Penthouse', 'Pool deck', 'High ceiling', 'Stove', 'Jacuzzi', 'Oven', 'Parking', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2003,32 Lincoln Road,Arts Associate Company Pte Ltd (Far East Organization),Newton / Novena (D11),North,High (10 total),Partial,https://www.99.co/singapore/rent/property/rosevale-condo-2L5HbDEnKCoZ5wartgbmw#enquiry_position_7160#enquiry_source_Search,10 min (458 m) from ,Novena MRT,Rosevale,Novena,,https://www.99.co/static/v3/icons/penthouse@3x.png,$3.44 psf,"$9,000/mo",Condo Whole Unit,"2,616",Freehold,32,"3, 4 BR",4,4
"['Clubhouse', 'Gym', 'Wading pool', 'Jacuzzi', 'Parking', 'Security', 'Lap pool', 'Bbq']",2012,11B Nassim Road,Hong Leong Holdings Ltd,Tanglin / Holland (D10),North,,,https://www.99.co/singapore/rent/property/sage-condo-EsE4vFUXkmvhQaqVwrdTNC#enquiry_position_7161#enquiry_source_Search,15 min (1096 m) from ,Orchard MRT,Sage,Tanglin,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.86 psf,"$17,000/mo",Condo Whole Unit,"2,900",Freehold,33,"Studio, 3, 4, 5 BR",4,4
"['Clubhouse', 'City view', 'Bathtub', 'Fitness corner', 'Aircon', 'High ceiling', 'Stove', 'Dishwasher', '', '', '', '', '', '', '', '', '']",2007,30 Mount Sophia,Cathay Organisation Holdings Ltd,Orchard / River Valley (D9),North East,,Partial,https://www.99.co/singapore/rent/property/the-cathay-residences-condo-6tKN8C3T3re46NJCQvpg6S#enquiry_position_7162#enquiry_source_Search,5 min (222 m) from ,Dhoby Ghaut MRT,The Cathay Residences,None,City view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.24 psf,"$4,600/mo",Condo Whole Unit,878,Freehold,76,"2, 3 BR",2,2
"['High ceiling', 'Mid floor', 'City view', 'Fibre ready', 'Renovated']",2007,6 Handy Road,JBE Properties Pte Ltd,Orchard / River Valley (D9),North East,Mid,Fully,https://www.99.co/singapore/rent/property/the-luxe-condo-rXcAhL9GTv8WDyKwHa6mxA#enquiry_position_7163#enquiry_source_Search,5 min (169 m) from ,Dhoby Ghaut MRT,The Luxe,None,City view,https://www.99.co/static/v3/icons/high_ceiling@3x.png,$5.49 psf,"$5,500/mo",Condo Whole Unit,"1,001",99 Years,20,2 BR,2,2
